Class Year,Height,Hometown,Name,Number,Position,Roster,School,Team,Weight (LBS)
SR, 6'1," MAHWAH, NJ",BRANDON ANDERSON,2.0,G,2019-20,DON BOSCO PREP, Men's Basketball,170
JR, 6'5," LOWELL, MA",TAMENANG CHOH,25.0,F,2019-20,BROOKS SCHOOL, Men's Basketball,210
FR, 6'4," CHICAGO, IL",PERRY COWAN,23.0,G,2019-20,DEPAUL COLLEGE PREP, Men's Basketball,200
JR, 6'9," BARRINGTON, RI",MATT DEWOLF,44.0,F,2019-20,NORTHFIELD MOUNT HERMON, Men's Basketball,230
FR, 6'4," DETROIT, MI",DAN FRIDAY,1.0,G,2019-20,UNIVERSITY OF DETROIT JESUIT, Men's Basketball,220
SR, 6'6," CHARLOTTE, NC",JOSHUA HOWARD,5.0,F,2019-20,PROVIDENCE DAY SCHOOL, Men's Basketball,205
SR, 6'2," NORTH SALT LAKE, UT",ZACH HUNSAKER,20.0,G,2019-20,OREM, Men's Basketball,185
FR, 6'6," BETHESDA, MD",CARSTEN KOGELNIK,3.0,F,2019-20,DEMATHA CATHOLIC, Men's Basketball,210
JR, 6'3," BURKE, VA",GEORGE MAWANDA-KALEMA,11.0,G,2019-20,EPISCOPAL, Men's Basketball,180
JR, 6'5," PROVIDENCE, RI",NOAH MEREN,,G,2019-20,MOSES BROWN SCHOOL, Men's Basketball,200
JR, 6'3," HOUSTON, TX",JAKE SHAPER,15.0,G,2019-20,THE KINKAID SCHOOL, Men's Basketball,195
JR, 6'1," MAHWAH, NJ",BRANDON ANDERSON,2.0,G,2018-19,DON BOSCO PREP, Men's Basketball,170
SO, 6'4," NASHVILLE, TN",DESMOND CAMBRIDGE,24.0,G,2018-19,THE HUN SCHOOL (NJ), Men's Basketball,180
SO, 6'5," LOWELL, MA",TAMENANG CHOH,25.0,F,2018-19,BROOKS SCHOOL, Men's Basketball,210
SO, 6'9," BARRINGTON, RI",MATT DEWOLF,44.0,F,2018-19,NORTHFIELD MOUNT HERMON, Men's Basketball,230
SR, 6'9," ENCINITAS, CA",TRAVIS FULLER,1.0,F,2018-19,LA COSTA CANYON, Men's Basketball,225
JR, 6'6," CHARLOTTE, NC",JOSHUA HOWARD,5.0,F,2018-19,PROVIDENCE DAY SCHOOL, Men's Basketball,205
JR, 6'2," NORTH SALT LAKE, UT",ZACH HUNSAKER,20.0,G,2018-19,OREM, Men's Basketball,185
SO, 6'3," BURKE, VA",GEORGE MAWANDA-KALEMA,3.0,G,2018-19,EPISCOPAL, Men's Basketball,180
SR, 6'5," AJAX, ONTARIO",OBI OKOLIE,4.0,G,2018-19,ARCHBISHOP DENIS O'CONNOR, Men's Basketball,205
SO, 6'3," HOUSTON, TX",JAKE SHAPER,15.0,G,2018-19,THE KINKAID SCHOOL, Men's Basketball,195
SR, 6'3," WILMETTE, IL",CHRIS SULLIVAN,11.0,G,2018-19,NORTHFIELD MOUNT HERMON, Men's Basketball,180
SR, 6'4," COOPER CITY, FL",JASON MASSEY,0.0,G,2017-18,AMERICAN HERITAGE, Men's Basketball ,220
JR, 6'9," ENCINITAS, CA",TRAVIS FULLER,1.0,F,2017-18,LA COSTA CANYON, Men's Basketball ,225
SO, 6'1," MAHWAH, NJ",BRANDON ANDERSON,2.0,G,2017-18,DON BOSCO PREP, Men's Basketball ,170
FR, 6'3," BURKE, VA",GEORGE MAWANDA-KALEMA,3.0,G,2017-18,EPISCOPAL, Men's Basketball ,180
JR, 6'5," AJAX, ONTARIO",OBI OKOLIE,4.0,G,2017-18,ARCHBISHOP DENIS O'CONNOR, Men's Basketball ,205
SO, 6'6," CHARLOTTE, NC",JOSHUA HOWARD,5.0,F,2017-18,PROVIDENCE DAY SCHOOL, Men's Basketball ,205
SO, 6'9," SYKESVILLE, MD",DAVID EREBOR,10.0,F,2017-18,OUR LADY OF CARMEL SCHOOL, Men's Basketball ,230
JR, 6'3," WILMETTE, IL",CHRIS SULLIVAN,11.0,G,2017-18,NORTHFIELD MOUNT HERMON, Men's Basketball ,180
FR, 6'3," HOUSTON, TX",JAKE SHAPER,15.0,G,2017-18,THE KINKAID SCHOOL, Men's Basketball ,195
